### bench v0  load averages: 2.24 3.80 4.37
header: hdr/chainhash_v0.h; calibrated core frequency: 3.378 GHz; trials 21

== chainhash-256 <32,5,1> ==  cycles per call: tp (independent) | lat4 (SMHasher3-style serialization); min-based / median; GB/s from tp at the measured GHz
    len |   tp.min   tp.med |  lat.min  lat.med |     GB/s | GHz
     24 |     39.6     39.4 |     88.7     88.9 |     2.03 | 3.36
     25 |     27.1     78.3 |     96.3     95.7 |     3.22 | 3.50
     26 |     27.1     27.5 |     88.5     93.5 |     3.36 | 3.50
     27 |     29.9     29.9 |     94.4     95.0 |     3.12 | 3.46
     28 |     31.0     30.6 |     93.3     93.0 |     3.17 | 3.50
     29 |     33.5     33.5 |     88.9     89.3 |     2.90 | 3.35
     30 |     33.3     33.5 |     89.6     89.5 |     2.94 | 3.26
     31 |     34.0     33.9 |     89.1     88.8 |     3.19 | 3.50
     32 |     19.4     19.3 |     79.6     78.6 |     5.74 | 3.49
     47 |     34.7     34.4 |     91.2     90.5 |     4.75 | 3.50
     48 |     21.0     20.7 |     81.2     81.4 |     8.03 | 3.50
     63 |     35.2     35.3 |     96.4     95.0 |     6.18 | 3.45
     64 |     19.8     19.9 |     79.6     79.2 |    10.14 | 3.13
    100 |     30.6     30.7 |     96.5     94.6 |    10.85 | 3.32
    127 |     35.3     34.7 |     97.5     97.3 |    12.10 | 3.36
    128 |     23.1     23.0 |     82.3     82.3 |    18.42 | 3.33
    255 |     41.0     42.1 |    100.6    100.3 |    21.15 | 3.40
    256 |     31.5     31.7 |     83.9     84.6 |    25.66 | 3.16
    257 |     43.0     42.7 |    110.3    110.3 |    20.06 | 3.36
    511 |     61.6     60.8 |    110.3    109.8 |    27.86 | 3.36
    512 |     52.6     53.7 |    101.2    102.0 |    31.68 | 3.26
    513 |     67.3     68.6 |    125.4    125.3 |    24.85 | 3.26
   1024 |     96.5     95.8 |    130.5    130.0 |    34.62 | 3.26
   1025 |    121.5    121.7 |    155.6    155.5 |    27.55 | 3.26
   4096 |    290.1    288.2 |    314.7    636.3 |    45.79 | 3.24
  16384 |   1033.6   1025.2 |   1055.5   1085.6 |    51.59 | 3.25
   avg lat4 over 1..31 B: 86.52 (min-based)  86.39 (median)

== chainhash-1k <128,5,2> ==  cycles per call: tp (independent) | lat4 (SMHasher3-style serialization); min-based / median; GB/s from tp at the measured GHz
    len |   tp.min   tp.med |  lat.min  lat.med |     GB/s | GHz
      0 |     23.1     23.3 |     23.7     23.4 |     0.00 | 3.35
      1 |     29.7     29.7 |     96.0     95.3 |     0.11 | 3.26
      2 |     30.3     30.3 |    106.6    104.7 |     0.22 | 3.32
      3 |     31.3     30.9 |    101.0     99.8 |     0.31 | 3.26
      4 |     32.1     31.8 |     99.8     99.7 |     0.42 | 3.36
      5 |     32.7     32.1 |     99.3     98.7 |     0.51 | 3.36
      6 |     33.5     33.2 |     99.4     99.8 |     0.58 | 3.26
      7 |     33.9     33.9 |     98.6     99.0 |     0.68 | 3.31
      8 |     29.9     30.0 |     95.9     96.4 |     0.90 | 3.35
      9 |     31.4     31.3 |     97.4     96.2 |     0.96 | 3.35
     10 |     31.2     31.1 |     96.8     95.8 |     1.07 | 3.35
     11 |     33.3     32.9 |     97.3     96.1 |     1.11 | 3.36
     12 |     32.3     32.6 |     97.2     96.5 |     1.29 | 3.46
     13 |     33.5     33.5 |     97.3     96.6 |     1.30 | 3.36
     14 |     34.2     33.9 |     97.1     96.5 |     1.37 | 3.34
     15 |     35.6     35.4 |     97.3     96.9 |     1.41 | 3.35
     16 |     25.5     25.2 |     92.4     91.6 |     2.11 | 3.36
     17 |     31.9     31.7 |    104.4    103.6 |     1.79 | 3.36
     18 |     32.4     32.0 |    104.5    103.5 |     1.87 | 3.36
     19 |     33.0     32.6 |    104.4    104.4 |     1.93 | 3.36
     20 |     33.5     33.0 |    104.4    103.9 |     2.01 | 3.36
     21 |     34.1     33.9 |    107.5    104.2 |     2.07 | 3.36
     22 |     34.7     34.7 |    104.6    103.8 |     2.21 | 3.48
     23 |     35.8     35.6 |    104.5    102.8 |     2.15 | 3.35
     24 |     31.8     31.4 |    104.2    102.9 |     2.52 | 3.34
     25 |     32.8     32.4 |    104.6    103.8 |     2.56 | 3.36
     26 |     34.0     33.7 |    104.7    103.3 |     2.57 | 3.36
     27 |     33.5     33.2 |    103.2    103.6 |     2.71 | 3.36
     28 |     34.1     33.9 |    104.6    103.8 |     2.76 | 3.36
     29 |     35.0     34.5 |    104.5    103.5 |     2.79 | 3.36
     30 |     35.7     35.8 |    104.4    103.7 |     2.80 | 3.34
     31 |     36.7     36.7 |    104.6    103.7 |     2.92 | 3.46
     32 |     27.2     27.3 |     94.7     93.6 |     4.08 | 3.47
     47 |     39.0     38.6 |    106.5    106.0 |     4.22 | 3.50
     48 |     29.0     28.8 |     98.4     96.5 |     5.80 | 3.50
     63 |     40.7     40.8 |    108.3    107.9 |     5.20 | 3.36
     64 |     28.8     28.9 |     94.5     94.6 |     7.69 | 3.46
    100 |     40.4     39.8 |    110.4    110.8 |     8.68 | 3.50
    127 |     45.2     44.7 |    112.7    112.1 |     9.84 | 3.50
    128 |     32.6     32.5 |     96.5     96.0 |    13.75 | 3.50
    255 |     52.0     51.5 |    116.3    115.4 |    17.08 | 3.48
    256 |     41.0     40.3 |    100.0     99.1 |    21.86 | 3.50
    257 |     47.9     47.2 |    112.8    111.3 |    18.81 | 3.50
    511 |     68.0     68.0 |    125.0    123.8 |    25.98 | 3.46
    512 |     57.4     56.9 |    108.8    107.3 |    31.08 | 3.48
    513 |     64.1     63.2 |    118.7    117.3 |    28.06 | 3.50
   1024 |     82.9     82.8 |    108.5    108.4 |    42.26 | 3.42
   1025 |    111.2    111.0 |    150.4    152.1 |    32.20 | 3.49
   4096 |    266.6    263.7 |    281.7    284.5 |    53.78 | 3.50
  16384 |    940.4    945.5 |    960.3    971.1 |    60.52 | 3.47
   avg lat4 over 1..31 B: 101.25 (min-based)  100.45 (median)

== 64-byte blocks <8,5,1> ==  cycles per call: tp (independent) | lat4 (SMHasher3-style serialization); min-based / median; GB/s from tp at the measured GHz
    len |   tp.min   tp.med |  lat.min  lat.med |     GB/s | GHz
      0 |     16.1     16.5 |     17.3     17.5 |     0.00 | 3.47
      1 |     25.1     63.8 |     82.9     82.2 |     0.14 | 3.48
      2 |     41.6     79.0 |     86.2     84.7 |     0.17 | 3.47
      3 |     29.1     32.5 |     86.4     85.4 |     0.36 | 3.46
      4 |     27.4     47.3 |     88.3     87.0 |     0.49 | 3.33
      5 |     30.7     30.9 |     85.5     85.7 |     0.53 | 3.24
      6 |     30.5     31.3 |     88.8     86.1 |     0.64 | 3.27
      7 |     31.9     32.3 |     86.2     87.1 |     0.73 | 3.34
      8 |     26.6     78.6 |     84.6     82.5 |     1.01 | 3.34
      9 |     25.9     76.2 |     83.6     83.5 |     1.21 | 3.48
     10 |     34.1     53.1 |     83.9     84.2 |     1.02 | 3.49
     11 |     52.1     78.4 |     82.8     82.8 |     0.71 | 3.35
     12 |     30.2     30.1 |     83.3     82.9 |     1.29 | 3.26
     13 |     31.1     30.6 |     82.4     82.7 |     1.41 | 3.36
     14 |     32.2     32.2 |     82.2     82.4 |     1.46 | 3.35
     15 |     32.9     32.6 |     81.9     81.6 |     1.49 | 3.26
     16 |     16.2     16.4 |     73.6     75.6 |     3.27 | 3.32
     17 |     37.3     77.9 |     87.5     86.9 |     1.60 | 3.50
     18 |     58.7     78.0 |     86.2     85.7 |     1.07 | 3.50
     19 |     77.9     77.8 |     86.7     86.3 |     0.85 | 3.48
     20 |     26.8     26.8 |     86.4     85.6 |     2.62 | 3.50
     21 |     30.1     29.8 |     85.7     85.7 |     2.44 | 3.49
     22 |     30.6     30.6 |     86.4     85.5 |     2.50 | 3.48
     23 |     32.0     31.5 |     86.5     85.5 |     2.52 | 3.50
     24 |     78.4     77.5 |     87.6     87.1 |     1.07 | 3.50
     25 |     78.1     78.2 |     93.1     93.5 |     1.12 | 3.49
     26 |     27.1     27.0 |     87.8     90.4 |     3.35 | 3.48
     27 |     29.6     77.4 |     86.6     87.0 |     3.19 | 3.49
     28 |     30.2     63.0 |     86.3     86.5 |     3.24 | 3.50
     29 |     53.9     53.7 |     88.8     91.7 |     1.88 | 3.50
     30 |     31.9     31.7 |     86.5     85.6 |     3.28 | 3.49
     31 |     33.1     33.0 |     86.5     85.9 |     3.28 | 3.50
     32 |     17.3     17.2 |     77.7     77.6 |     6.48 | 3.50
     47 |     33.0     33.0 |     91.1     89.7 |     4.97 | 3.49
     48 |     18.2     18.2 |     79.7     79.2 |     8.84 | 3.36
     63 |     34.6     52.2 |     91.3     90.4 |     6.38 | 3.50
     64 |     18.3     18.0 |     79.8     79.4 |    12.23 | 3.50
    100 |     33.4     33.5 |    103.9    103.7 |    10.49 | 3.50
    127 |     36.3     35.8 |    104.3    103.6 |    11.42 | 3.26
    128 |     25.9     26.6 |     94.4     93.3 |    16.59 | 3.36
    255 |     54.9     54.4 |    134.8    134.8 |    16.27 | 3.50
    256 |     47.9     47.9 |    125.6    125.6 |    18.46 | 3.46
    257 |     59.4     60.6 |    146.9    147.5 |    13.69 | 3.17
    511 |     97.8     98.3 |    194.0    191.9 |    16.64 | 3.19
    512 |     89.7     89.9 |    186.3    182.8 |    18.99 | 3.33
    513 |    108.5    108.5 |    209.7    207.5 |    15.00 | 3.17
   1024 |    185.5    184.7 |    305.2    301.0 |    19.23 | 3.48
   1025 |    203.2    201.0 |    329.9    329.8 |    17.67 | 3.50
   4096 |    890.7    881.3 |   1024.6   1021.6 |    15.80 | 3.44
  16384 |   3713.9   3714.0 |   3828.7   3901.2 |    15.25 | 3.46
   avg lat4 over 1..31 B: 85.53 (min-based)  85.32 (median)
### bench v3  load averages: 2.19 3.74 4.34
header: hdr/chainhash_v3.h; calibrated core frequency: 3.376 GHz; trials 21

== chainhash-256 <32,5,1> ==  cycles per call: tp (independent) | lat4 (SMHasher3-style serialization); min-based / median; GB/s from tp at the measured GHz
    len |   tp.min   tp.med |  lat.min  lat.med |     GB/s | GHz
      0 |     12.0     12.2 |     11.9     11.8 |     0.00 | 3.46
      1 |     12.0     12.0 |     71.5     70.7 |     0.27 | 3.18
      2 |     11.6     12.0 |     71.4     71.1 |     0.55 | 3.17
      3 |     12.2     12.3 |     71.7     71.3 |     0.82 | 3.34
      4 |     12.0     12.1 |     68.2     68.2 |     1.17 | 3.49
      5 |     12.0     12.0 |     68.8     67.9 |     1.36 | 3.26
      6 |     11.9     11.9 |     69.0     67.9 |     1.68 | 3.32
      7 |     11.9     11.9 |     68.1     67.9 |     1.95 | 3.31
      8 |     11.7     11.9 |     67.5     67.0 |     2.24 | 3.28
      9 |     12.2     12.5 |     67.6     67.5 |     2.48 | 3.37
     10 |     12.1     12.3 |     67.7     67.5 |     2.68 | 3.25
     11 |     12.1     12.4 |     66.6     67.6 |     2.94 | 3.25
     12 |     12.1     12.4 |     67.3     67.0 |     3.22 | 3.25
     13 |     12.1     12.3 |     67.1     67.1 |     3.67 | 3.42
     14 |     12.4     12.6 |     66.6     67.6 |     3.83 | 3.38
     15 |     12.0     12.4 |     67.9     67.1 |     4.35 | 3.48
     16 |     12.6     12.5 |     64.8     64.5 |     4.33 | 3.42
     17 |     15.0     14.9 |     68.3     67.7 |     3.71 | 3.28
     18 |     14.5     14.6 |     68.9     68.2 |     4.03 | 3.25
     19 |     14.9     15.4 |     68.0     67.0 |     4.22 | 3.31
     20 |     14.3     14.3 |     66.3     65.9 |     4.56 | 3.26
     21 |     14.5     14.8 |     65.1     66.9 |     4.72 | 3.26
     22 |     14.5     14.5 |     68.5     67.1 |     4.90 | 3.24
     23 |     14.6     14.5 |     67.1     66.4 |     5.20 | 3.29
     24 |     14.6     14.8 |     67.8     67.0 |     5.37 | 3.27
     25 |     14.9     14.9 |     66.3     66.7 |     5.53 | 3.29
     26 |     14.5     14.8 |     66.4     66.8 |     5.82 | 3.24
     27 |     14.7     14.8 |     67.6     66.6 |     5.95 | 3.23
     28 |     14.7     14.9 |     66.9     66.6 |     6.30 | 3.30
     29 |     14.4     14.7 |     66.8     67.0 |     6.56 | 3.25
     30 |     14.2     14.3 |     66.2     66.9 |     7.08 | 3.36
     31 |     14.4     14.5 |     66.4     66.2 |     6.99 | 3.25
     32 |     13.3     13.4 |     66.4     66.3 |     7.80 | 3.25
     47 |     16.6     16.7 |     69.0     69.0 |     9.47 | 3.35
     48 |     15.3     15.4 |     69.7     69.3 |    10.46 | 3.33
     63 |     18.7     19.3 |     69.9     71.5 |    11.32 | 3.37
     64 |     13.9     14.4 |     68.6     69.0 |    14.97 | 3.24
    100 |     20.6     20.7 |     72.8     75.2 |    15.75 | 3.24
    127 |     23.0     23.3 |     76.8     77.1 |    17.86 | 3.24
    128 |     18.4     18.3 |     70.7     70.7 |    23.20 | 3.34
    255 |     31.0     31.9 |     81.5     80.4 |    27.46 | 3.34
    256 |     25.2     25.8 |     74.4     74.4 |    33.13 | 3.26
    257 |     34.7     34.7 |     90.7     87.6 |    24.82 | 3.35
    511 |     54.6     53.9 |     87.5     86.7 |    31.09 | 3.32
    512 |     45.3     45.4 |     86.5     86.5 |    36.86 | 3.26
    513 |     51.9     52.6 |     99.6    100.1 |    31.98 | 3.24
   1024 |     75.7     76.2 |    108.1    109.7 |    47.05 | 3.48
   1025 |     80.0     79.2 |    122.5    120.2 |    44.87 | 3.50
   4096 |    247.8    245.1 |    265.9    261.8 |    57.76 | 3.49
  16384 |    901.0    908.2 |    922.5    919.5 |    59.62 | 3.28
   avg lat4 over 1..31 B: 67.69 (min-based)  67.46 (median)

== chainhash-1k <128,5,2> ==  cycles per call: tp (independent) | lat4 (SMHasher3-style serialization); min-based / median; GB/s from tp at the measured GHz
    len |   tp.min   tp.med |  lat.min  lat.med |     GB/s | GHz
      0 |      7.7      7.8 |      8.0      7.9 |     0.00 | 3.35
      1 |     11.7     11.7 |     72.9     72.5 |     0.29 | 3.34
      2 |     11.8     11.8 |     70.1     72.1 |     0.58 | 3.41
      3 |     11.7     11.8 |     72.0     71.9 |     0.83 | 3.26
      4 |     11.1     11.0 |     71.2     71.1 |     1.26 | 3.49
      5 |     11.1     11.0 |     71.7     71.0 |     1.57 | 3.49
      6 |     11.2     11.0 |     71.3     71.2 |     1.88 | 3.50
      7 |     11.9     12.0 |     70.6     71.1 |     2.04 | 3.46
      8 |     10.8     10.9 |     69.6     69.6 |     2.59 | 3.50
      9 |     10.7     10.9 |     68.9     69.3 |     2.90 | 3.43
     10 |     10.4     10.8 |     69.8     69.3 |     3.24 | 3.36
     11 |     10.8     10.8 |     70.0     68.9 |     3.32 | 3.27
     12 |     10.6     10.8 |     70.0     67.6 |     3.88 | 3.43
     13 |     10.6     10.8 |     68.9     68.9 |     4.21 | 3.44
     14 |     10.8     10.8 |     68.8     68.4 |     4.54 | 3.50
     15 |     10.8     10.8 |     68.7     68.7 |     4.87 | 3.50
     16 |     10.5     10.6 |     66.9     66.5 |     5.31 | 3.48
     17 |     14.0     14.0 |     69.3     69.2 |     4.25 | 3.50
     18 |     13.9     13.9 |     69.2     69.2 |     4.48 | 3.47
     19 |     14.1     14.1 |     69.3     69.1 |     4.73 | 3.50
     20 |     14.1     14.1 |     68.6     68.6 |     4.98 | 3.50
     21 |     14.0     14.0 |     68.8     68.2 |     5.23 | 3.50
     22 |     14.0     14.0 |     68.8     68.9 |     5.48 | 3.50
     23 |     13.1     14.1 |     68.8     69.5 |     5.70 | 3.26
     24 |     14.0     14.0 |     68.7     68.7 |     5.98 | 3.50
     25 |     14.0     14.1 |     68.6     69.1 |     6.23 | 3.50
     26 |     14.0     14.0 |     68.8     68.5 |     6.48 | 3.48
     27 |     14.0     14.1 |     68.8     68.0 |     6.73 | 3.50
     28 |     14.0     14.0 |     68.8     68.8 |     6.97 | 3.49
     29 |     14.0     14.1 |     68.8     68.5 |     7.22 | 3.50
     30 |     14.1     14.1 |     68.7     68.1 |     7.47 | 3.50
     31 |     14.1     14.0 |     68.7     68.5 |     7.72 | 3.50
     32 |     12.9     12.8 |     68.7     68.6 |     8.66 | 3.50
     47 |     16.3     16.3 |     71.1     70.9 |    10.12 | 3.50
     48 |     15.0     15.0 |     70.2     69.9 |    11.16 | 3.49
     63 |     18.3     18.3 |     72.7     72.2 |    12.04 | 3.50
     64 |     14.1     14.2 |     71.1     71.4 |    15.68 | 3.45
    100 |     20.4     20.3 |     77.1     76.7 |    16.88 | 3.44
    127 |     22.2     22.3 |     78.5     78.5 |    19.91 | 3.49
    128 |     17.6     17.5 |     72.7     72.7 |    23.69 | 3.26
    255 |     30.7     30.7 |     80.2     82.4 |    27.03 | 3.25
    256 |     25.9     26.1 |     76.6     76.8 |    33.11 | 3.35
    257 |     29.6     29.8 |     78.9     78.7 |    28.31 | 3.26
    511 |     48.6     48.6 |     90.5     89.8 |    34.32 | 3.26
    512 |     41.6     41.4 |     84.6     84.5 |    41.15 | 3.34
    513 |     52.5     52.6 |     97.6     97.7 |    32.79 | 3.35
   1024 |     75.4     75.4 |     96.9     97.1 |    45.40 | 3.34
   1025 |     88.6     88.6 |    118.9    117.7 |    38.68 | 3.34
   4096 |    240.5    247.4 |    254.8    265.6 |    56.95 | 3.34
  16384 |    872.5    873.3 |    899.9    896.1 |    65.05 | 3.46
   avg lat4 over 1..31 B: 69.49 (min-based)  69.33 (median)

== 64-byte blocks <8,5,1> ==  cycles per call: tp (independent) | lat4 (SMHasher3-style serialization); min-based / median; GB/s from tp at the measured GHz
    len |   tp.min   tp.med |  lat.min  lat.med |     GB/s | GHz
      0 |      8.0      8.0 |      8.0      8.0 |     0.00 | 3.50
      1 |     11.0     11.0 |     71.2     71.1 |     0.32 | 3.50
      2 |     11.0     11.1 |     70.9     71.0 |     0.61 | 3.35
      3 |     11.0     11.0 |     70.9     70.9 |     0.92 | 3.35
      4 |     10.4     10.4 |     69.1     69.0 |     1.34 | 3.49
      5 |     10.4     10.4 |     68.8     69.5 |     1.68 | 3.50
      6 |     10.5     10.6 |     69.0     69.0 |     2.01 | 3.50
      7 |     11.0     10.7 |     68.8     68.9 |     2.23 | 3.49
      8 |     10.2     10.2 |     66.3     67.2 |     2.63 | 3.35
      9 |     10.1     10.2 |     67.3     67.2 |     2.89 | 3.25
     10 |     10.1     10.2 |     67.2     67.3 |     3.20 | 3.25
     11 |     10.2     10.2 |     67.3     67.3 |     3.52 | 3.25
     12 |     10.2     10.2 |     66.9     66.9 |     4.12 | 3.49
     13 |     10.1     10.2 |     66.9     67.2 |     4.48 | 3.49
     14 |     10.2     10.2 |     66.6     66.5 |     4.81 | 3.49
     15 |     10.1     10.1 |     66.7     66.5 |     5.20 | 3.50
     16 |      9.8     10.1 |     64.1     63.7 |     5.71 | 3.50
     17 |     12.9     12.9 |     67.4     67.3 |     4.60 | 3.50
     18 |     12.9     12.9 |     67.3     67.2 |     4.90 | 3.50
     19 |     12.9     12.9 |     67.2     67.4 |     5.18 | 3.50
     20 |     12.9     12.9 |     67.7     67.4 |     5.42 | 3.49
     21 |     12.9     13.3 |     66.5     66.7 |     5.49 | 3.37
     22 |     13.0     13.1 |     66.7     66.7 |     5.91 | 3.49
     23 |     12.9     12.9 |     66.9     67.2 |     6.22 | 3.50
     24 |     12.9     12.9 |     66.7     66.7 |     6.52 | 3.50
     25 |     12.8     12.7 |     66.6     66.6 |     6.82 | 3.50
     26 |     12.9     13.0 |     66.7     66.5 |     7.03 | 3.50
     27 |     12.9     13.0 |     66.7     66.7 |     7.32 | 3.50
     28 |     12.9     12.9 |     66.6     66.5 |     7.58 | 3.50
     29 |     13.1     13.0 |     67.0     66.9 |     7.31 | 3.31
     30 |     13.0     13.2 |     66.6     66.1 |     8.05 | 3.49
     31 |     12.8     12.9 |     66.8     66.5 |     8.45 | 3.50
     32 |     12.3     12.3 |     66.6     66.4 |     9.08 | 3.50
     47 |     15.1     15.1 |     68.7     68.6 |    10.86 | 3.50
     48 |     14.5     14.6 |     68.5     68.5 |    11.57 | 3.49
     63 |     17.2     17.3 |     70.4     70.1 |    12.80 | 3.50
     64 |     11.8     11.9 |     68.7     68.9 |    18.86 | 3.48
    100 |     22.1     22.0 |     82.1     81.9 |    15.89 | 3.50
    127 |     23.4     23.3 |     81.8     81.6 |    18.89 | 3.49
    128 |     19.5     19.3 |     81.6     81.3 |    22.93 | 3.50
    255 |     35.0     36.1 |    103.5    103.1 |    25.17 | 3.46
    256 |     33.1     33.1 |    103.7    103.3 |    25.94 | 3.36
    257 |     38.7     38.7 |    114.8    114.3 |    22.30 | 3.36
    511 |     64.9     64.7 |    147.6    147.2 |    27.52 | 3.49
    512 |     62.0     61.6 |    147.8    148.2 |    28.92 | 3.50
    513 |     69.2     68.6 |    158.2    157.3 |    25.84 | 3.48
   1024 |    135.3    132.8 |    236.4    232.3 |    26.27 | 3.47
   1025 |    141.7    142.5 |    247.4    246.9 |    25.30 | 3.50
   4096 |    612.1    612.5 |    747.5    761.0 |    23.33 | 3.49
  16384 |   2714.0   2696.6 |   2862.2   2865.6 |    21.05 | 3.49
   avg lat4 over 1..31 B: 67.46 (min-based)  67.47 (median)
### bench v4  load averages: 2.62 3.78 4.34
header: hdr/chainhash_v4.h; calibrated core frequency: 3.385 GHz; trials 21

== chainhash-256 <32,5,1> ==  cycles per call: tp (independent) | lat4 (SMHasher3-style serialization); min-based / median; GB/s from tp at the measured GHz
    len |   tp.min   tp.med |  lat.min  lat.med |     GB/s | GHz
      0 |      8.0      8.0 |      8.0      7.9 |     0.00 | 3.50
      1 |     10.9     10.9 |     70.6     70.8 |     0.32 | 3.50
      2 |     10.9     10.8 |     70.5     70.8 |     0.64 | 3.50
      3 |     11.0     11.0 |     70.7     70.7 |     0.96 | 3.49
      4 |     10.5     10.5 |     68.4     68.2 |     1.25 | 3.26
      5 |     10.5     10.5 |     67.8     68.1 |     1.56 | 3.26
      6 |     10.3     10.4 |     68.3     68.0 |     2.01 | 3.44
      7 |     10.5     10.6 |     68.4     67.9 |     2.33 | 3.49
      8 |     10.0     10.0 |     67.4     67.3 |     2.79 | 3.50
      9 |     10.0     10.0 |     67.1     66.4 |     3.13 | 3.49
     10 |     10.0     10.0 |     66.8     66.4 |     3.48 | 3.47
     11 |     10.0     10.0 |     66.8     66.6 |     3.82 | 3.47
     12 |     10.0     10.0 |     66.7     66.2 |     4.18 | 3.50
     13 |     10.0     10.0 |     66.7     66.0 |     4.53 | 3.50
     14 |     10.1     10.0 |     66.7     66.3 |     4.87 | 3.50
     15 |     10.1     10.0 |     66.7     66.3 |     5.21 | 3.49
     16 |     10.2     10.1 |     64.8     64.6 |     5.50 | 3.50
     17 |     13.2     13.1 |     67.3     67.4 |     4.51 | 3.50
     18 |     13.2     13.3 |     67.5     67.3 |     4.77 | 3.50
     19 |     13.2     13.4 |     66.6     66.7 |     5.03 | 3.48
     20 |     13.2     13.1 |     66.4     66.6 |     5.30 | 3.49
     21 |     13.2     13.0 |     66.5     66.3 |     5.56 | 3.50
     22 |     13.1     13.1 |     66.5     65.8 |     5.83 | 3.47
     23 |     13.2     13.2 |     66.7     66.4 |     6.09 | 3.50
     24 |     13.2     13.1 |     66.3     66.4 |     6.11 | 3.36
     25 |     13.2     13.3 |     66.4     66.2 |     6.60 | 3.49
     26 |     13.2     13.1 |     66.6     66.1 |     6.90 | 3.49
     27 |     13.1     13.1 |     67.0     67.2 |     7.15 | 3.48
     28 |     13.3     13.2 |     66.6     66.8 |     7.38 | 3.49
     29 |     13.2     13.2 |     66.3     66.3 |     7.67 | 3.48
     30 |     13.2     13.2 |     66.6     67.0 |     7.94 | 3.50
     31 |     13.1     13.1 |     66.9     66.1 |     8.20 | 3.47
     32 |     12.2     12.1 |     66.9     66.5 |     9.07 | 3.46
     47 |     15.1     15.1 |     68.7     68.4 |    10.73 | 3.46
     48 |     14.4     14.2 |     68.5     67.8 |    11.68 | 3.50
     63 |     17.6     17.4 |     70.6     70.0 |    12.56 | 3.50
     64 |     12.3     12.3 |     68.7     68.4 |    17.95 | 3.46
    100 |     19.3     19.3 |     74.3     73.7 |    18.14 | 3.50
    127 |     21.3     21.0 |     76.8     76.6 |    20.86 | 3.50
    128 |     16.6     16.6 |     70.6     69.6 |    26.67 | 3.47
    255 |     29.9     29.6 |     79.1     79.3 |    29.84 | 3.50
    256 |     24.5     24.3 |     74.8     73.8 |    36.33 | 3.48
    257 |     34.7     34.3 |     87.4     86.6 |    25.94 | 3.50
    511 |     54.1     54.1 |     88.1     87.3 |    32.67 | 3.46
    512 |     48.7     48.4 |     87.3     87.5 |    36.69 | 3.49
    513 |     51.2     51.1 |     96.5     97.6 |    33.52 | 3.35
   1024 |     74.4     73.4 |    109.3    109.1 |    48.19 | 3.50
   1025 |     79.9     78.9 |    120.0    119.1 |    44.91 | 3.50
   4096 |    245.9    245.8 |    266.6    263.4 |    57.60 | 3.46
  16384 |    924.3    911.5 |    941.4    929.1 |    62.12 | 3.50
   avg lat4 over 1..31 B: 67.25 (min-based)  67.07 (median)

== chainhash-1k <128,5,2> ==  cycles per call: tp (independent) | lat4 (SMHasher3-style serialization); min-based / median; GB/s from tp at the measured GHz
    len |   tp.min   tp.med |  lat.min  lat.med |     GB/s | GHz
      0 |      8.0      8.0 |      7.9      7.9 |     0.00 | 3.50
      1 |     11.4     11.4 |     73.5     72.1 |     0.30 | 3.46
      2 |     11.4     11.4 |     73.2     72.7 |     0.61 | 3.46
      3 |     11.4     11.4 |     73.1     72.4 |     0.91 | 3.46
      4 |     10.9     11.0 |     72.2     71.9 |     1.28 | 3.50
      5 |     10.8     10.8 |     71.9     71.3 |     1.60 | 3.46
      6 |     10.9     10.7 |     71.6     71.4 |     1.92 | 3.49
